Account,Campaign,Campaign Type,Campaign Daily Budget,Networks,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
156-199-1288,ThePOS | Provider Brand,Search,15,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,1.20,dojo card machine,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,1.20,dojo card machine,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,1.20,dojo fees,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,1.20,dojo pricing,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,1.20,dojo card machine review,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,1.20,dojo reviews,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,1.20,dojo card machine cost,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,1.20,is dojo any good,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,1.20,dojo payments review,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,,,,Responsive search ad,Dojo Review 2026,Dojo Fees Explained,What Dojo Actually Costs,Dojo Contract: The Catches,Is Dojo Any Good? Our Verdict,Independent UK Review,"Real Fees, No Waffle",We Don't Sell Card Machines,Honest Verdict Inside,Read Before You Sign,Free Fee Calculator,No Email Needed,See What You'd Really Pay,Compare 12 UK Providers,Takes About Ten Seconds,"What Dojo really costs, what's in the contract, and who should walk away.","Dojo doesn't publish pricing. We explain the quotes, terms and exit clauses.",We don't sell card machines - we review them. Independent verdicts in plain English.,Prices verified against provider pricing pages. They can't pay to change our verdicts.,reviews,dojo,https://thepos.co.uk/reviews/dojo,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,,,,Responsive search ad,Dojo Review 2026,Dojo Fees Explained,What Dojo Actually Costs,Independent UK Review,"Real Fees, No Waffle",We Don't Sell Card Machines,Honest Verdict Inside,Read Before You Sign,UK Small Business Focus,Free Fee Calculator,No Email Needed,See What You'd Really Pay,Compare 12 UK Providers,,,We don't sell card machines - we review them. Independent verdicts in plain English.,"What Dojo really costs, what's in the contract, and who should walk away.","Dojo doesn't publish pricing. We explain the quotes, terms and exit clauses.","Free calculator shows your true monthly cost at your turnover. Ten seconds, no email.",reviews,dojo,https://thepos.co.uk/reviews/dojo,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Dojo,,,,Responsive search ad,Dojo Review 2026,Dojo Fees Explained,What Dojo Actually Costs,Free Fee Calculator,No Email Needed,See What You'd Really Pay,Compare 12 UK Providers,Takes About Ten Seconds,Independent UK Review,"Real Fees, No Waffle",We Don't Sell Card Machines,Honest Verdict Inside,,,,"Free calculator shows your true monthly cost at your turnover. Ten seconds, no email.",Enter turnover and average sale - see monthly cost and all-in rate for every provider.,"What Dojo really costs, what's in the contract, and who should walk away.",Prices verified against provider pricing pages. They can't pay to change our verdicts.,reviews,dojo,https://thepos.co.uk/reviews/dojo,Enabled
156-199-1288,ThePOS | Provider Brand,,,,SumUp,1.20,sumup review,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,SumUp,1.20,sumup review,Phrase,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,SumUp,1.20,sumup fees,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,SumUp,1.20,sumup charges,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,SumUp,1.20,is sumup any good,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,SumUp,1.20,sumup card reader review,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,SumUp,1.20,sumup solo review,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,SumUp,,,,Responsive search ad,SumUp Review 2026,SumUp Fees Explained,Is SumUp Any Good?,SumUp: Who It's Really For,SumUp vs The Rest,Independent UK Review,"Real Fees, No Waffle",We Don't Sell Card Machines,Honest Verdict Inside,Read Before You Sign,Free Fee Calculator,No Email Needed,See What You'd Really Pay,Compare 12 UK Providers,Takes About Ten Seconds,"SumUp reviewed on real fees, payouts and limits - and who should pick Square instead.","1.69% flat, £19 reader, no contract. The catches and the verdict, in plain English.",We don't sell card machines - we review them. Independent verdicts in plain English.,Prices verified against provider pricing pages. They can't pay to change our verdicts.,reviews,sumup,https://thepos.co.uk/reviews/sumup,Enabled
156-199-1288,ThePOS | Provider Brand,,,,SumUp,,,,Responsive search ad,SumUp Review 2026,SumUp Fees Explained,Is SumUp Any Good?,Independent UK Review,"Real Fees, No Waffle",We Don't Sell Card Machines,Honest Verdict Inside,Read Before You Sign,UK Small Business Focus,Free Fee Calculator,No Email Needed,See What You'd Really Pay,Compare 12 UK Providers,,,We don't sell card machines - we review them. Independent verdicts in plain English.,"SumUp reviewed on real fees, payouts and limits - and who should pick Square instead.","1.69% flat, £19 reader, no contract. The catches and the verdict, in plain English.","Free calculator shows your true monthly cost at your turnover. Ten seconds, no email.",reviews,sumup,https://thepos.co.uk/reviews/sumup,Enabled
156-199-1288,ThePOS | Provider Brand,,,,SumUp,,,,Responsive search ad,SumUp Review 2026,SumUp Fees Explained,Is SumUp Any Good?,Free Fee Calculator,No Email Needed,See What You'd Really Pay,Compare 12 UK Providers,Takes About Ten Seconds,Independent UK Review,"Real Fees, No Waffle",We Don't Sell Card Machines,Honest Verdict Inside,,,,"Free calculator shows your true monthly cost at your turnover. Ten seconds, no email.",Enter turnover and average sale - see monthly cost and all-in rate for every provider.,"SumUp reviewed on real fees, payouts and limits - and who should pick Square instead.",Prices verified against provider pricing pages. They can't pay to change our verdicts.,reviews,sumup,https://thepos.co.uk/reviews/sumup,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Square,1.20,square card reader review,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Square,1.20,square reader uk,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Square,1.20,square fees uk,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Square,1.20,square pos review,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Square,1.20,is square good for small business,Exact,,,,,,,,,,,,,,,,,,,,,,,,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Square,,,,Responsive search ad,Square UK Review 2026,Square Fees Explained,Square Reader: Our Verdict,Square: Who It Suits,Square vs SumUp vs Zettle,Independent UK Review,"Real Fees, No Waffle",We Don't Sell Card Machines,Honest Verdict Inside,Read Before You Sign,Free Fee Calculator,No Email Needed,See What You'd Really Pay,Compare 12 UK Providers,Takes About Ten Seconds,"Square reviewed for UK small businesses: fees, free POS software and the catches.",1.75% flat with genuinely free software. Where Square wins and where it doesn't.,We don't sell card machines - we review them. Independent verdicts in plain English.,Prices verified against provider pricing pages. They can't pay to change our verdicts.,reviews,square,https://thepos.co.uk/reviews/square,Enabled
156-199-1288,ThePOS | Provider Brand,,,,Square,,,,Responsive search ad,Square UK Review 2026,Square Fees Explained,Square Reader: Our Verdict,Independent UK Review,"Real Fees, No Waffle",We Don't Sell Card Machines,Honest Verdict Inside,Read Before You Sign,UK Small Business Focus,Free Fee Calculator,No Email Needed,See What You'd Really Pay,Compare 12 UK Providers,,,We don't sell card machines - we review them. Independent verdicts in plain English.,"Square reviewed for UK small businesses: fees, free POS software and the catches.",1.75% flat with genuinely free software. Where Square wins and where it doesn't.,"Free calculator shows your true monthly cost at your turnover. Ten seconds, no email.",reviews,square,https://thepos.co.uk/reviews/square,Enabled
